Latitude,Longitude,Value
51.0132805,3.7082188,-45.82
51.0132893,3.7082166,-45.0
51.0132979,3.7082147,-44.87
51.0133067,3.7082129,-45.74
51.0133155,3.7082114,-45.46
51.0133243,3.7082102,-44.84
51.0133229,3.708196,-48.53
51.0133146,3.7081984,-46.6
51.0133054,3.7082002,-46.14
51.0132971,3.7082018,-45.53
51.013288,3.7082036,-45.92
51.0132789,3.7082054,-48.21
51.0132769,3.7081916,-47.46
51.0132859,3.7081896,-43.38
51.0132945,3.7081881,-44.53
51.0133027,3.7081857,-44.28
51.013311,3.7081842,-46.38
51.0133198,3.7081823,-46.95
51.0133194,3.708169,-48.31
51.0133105,3.708171,-48.32
51.0133016,3.7081725,-44.32
51.0132927,3.7081745,-47.26
51.0132838,3.7081763,-47.51
51.0132749,3.7081782,-47.02
51.013274,3.7081633,-47.53
51.0132826,3.7081608,-43.5
51.0132914,3.708159,-43.8
51.0133003,3.7081572,-46.24
51.013309,3.7081552,-45.53
51.0133182,3.7081534,-45.52
51.0133173,3.7081404,-46.31
51.0133082,3.7081421,-45.82
51.0132996,3.7081439,-46.51
51.0132904,3.7081462,-41.91
51.0132817,3.7081478,-47.36
51.0132727,3.7081502,-48.48
51.0133062,3.708166,-46.58
51.0133065,3.7081733,-45.15
51.0133061,3.7081804,-43.1
51.0133015,3.7081663,-46.37
51.0133014,3.7081726,-45.85
51.0133009,3.7081801,-44.37
51.0132963,3.7081661,-46.1
51.0132963,3.7081718,-45.55
51.0132962,3.708179,-46.54
51.0132926,3.7081966,-47.08
51.013292,3.7082036,-45.04
51.0132914,3.7082116,-46.1
51.0132872,3.708198,-47.18
51.0132868,3.7082043,-45.76
51.0132866,3.7082121,-47.5
51.0132822,3.7081979,-47.02
51.013282,3.7082048,-47.59
51.013282,3.7082112,-47.45
51.0132852,3.7082121,-47.18
51.0132838,3.7082192,-47.55
51.0132837,3.708226,-48.22
51.0132801,3.7082123,-46.26
51.0132805,3.7082188,-47.09
51.0132799,3.7082261,-47.35
51.0132759,3.7082126,-46.82
51.0132754,3.7082187,-45.59
51.0132762,3.708226,-46.0
51.0132998,3.7081799,-44.74
51.0132993,3.7081865,-46.53
51.0132991,3.708194,-46.54
51.0132949,3.7081804,-37.18
51.0132946,3.708187,-36.15
51.0132872,3.708206,-44.08
51.0132788,3.7082187,-43.81
