Latitude,Longitude,Value
51.0133119,3.7081749,-46.74
51.0133216,3.7081738,-44.75
51.0133301,3.7081733,-45.45
51.0133386,3.7081713,-44.4
51.0133468,3.7081704,-46.87
51.0133555,3.7081686,-45.78
51.0133543,3.7081545,-47.05
51.0133455,3.7081564,-45.84
51.0133368,3.7081579,-47.55
51.013327,3.7081596,-45.79
51.0133184,3.7081611,-47.4
51.0133094,3.7081623,-46.71
51.0133082,3.7081475,-48.4
51.0133175,3.7081462,-43.9
51.0133267,3.7081445,-43.66
51.0133354,3.708143,-44.12
51.0133443,3.7081414,-45.95
51.0133516,3.7081398,-45.96
51.0133503,3.7081254,-47.08
51.0133416,3.7081269,-47.8
51.0133325,3.7081286,-47.36
51.0133238,3.7081306,-44.94
51.013315,3.7081323,-47.37
51.0133065,3.7081332,-46.66
51.0133058,3.7081184,-47.49
51.0133143,3.7081172,-44.69
51.0133236,3.7081168,-46.82
51.0133325,3.7081162,-47.13
51.0133409,3.7081151,-46.01
51.0133499,3.7081131,-46.35
51.0133486,3.7080989,-47.42
51.0133399,3.7081012,-46.96
51.0133307,3.7081029,-47.54
51.0133218,3.7081043,-46.08
51.0133134,3.7081059,-47.3
51.0133049,3.708108,-47.76
