Latitude,Longitude,Value
51.0559128,3.7049363,75
51.0559207,3.7049429,97
51.0559287,3.7049496,23
51.0559366,3.7049562,96
51.0559445,3.7049628,50
51.0559524,3.7049695,75
51.0559605,3.7049761,87
51.0559685,3.7049828,68
51.0559764,3.7049894,72
51.0559844,3.7049961,31
51.0559923,3.7050027,66
51.0560003,3.7050093,73
51.0560083,3.705016,69
51.0560162,3.7050226,45
51.0560242,3.7050293,35
51.0560321,3.7050359,18
51.0560401,3.7050425,28
51.0560479,3.7050492,27
51.056056,3.7050558,82
51.056064,3.7050625,79
51.0560719,3.7050691,1
51.0560799,3.7050758,82
51.0560878,3.7050824,66
51.0560933,3.7050869,70
51.0560891,3.7050996,37
51.0560837,3.705095,73
51.0560757,3.7050884,45
51.0560677,3.7050817,9
51.0560598,3.7050751,60
51.0560518,3.7050685,87
51.0560439,3.7050618,99
51.0560359,3.7050552,92
51.0560278,3.7050485,37
51.0560199,3.7050419,66
51.056012,3.7050352,49
51.0560041,3.7050286,57
51.0559961,3.705022,82
51.0559882,3.7050153,82
51.0559802,3.7050087,50
51.0559722,3.705002,37
51.0559643,3.7049954,2
51.0559563,3.7049888,9
51.0559484,3.7049821,11
51.0559404,3.7049755,35
51.0559324,3.7049688,59
51.0559245,3.7049622,36
51.0559165,3.7049556,41
51.0559086,3.7049489,27
51.0559012,3.7049427,96
51.0558971,3.7049554,41
51.0559044,3.7049615,29
51.0559123,3.7049682,70
51.0559202,3.7049748,6
51.0559283,3.7049815,41
51.0559362,3.7049881,76
51.0559442,3.7049947,10
51.0559521,3.7050014,58
51.0559601,3.705008,72
51.055968,3.7050147,83
51.055976,3.7050213,83
51.055984,3.705028,74
51.0559999,3.7050412,14
51.0560078,3.7050479,44
51.0560158,3.7050545,91
51.0560238,3.7050612,45
51.0560317,3.7050678,4
51.0560397,3.7050744,59
51.0560476,3.7050811,77
51.0560556,3.7050877,53
51.0560636,3.7050944,3
51.0560715,3.705101,93
51.0560795,3.7051077,46
51.0560849,3.7051122,34
51.0560807,3.7051248,32
51.0560753,3.7051203,38
51.0560673,3.7051136,85
51.0560594,3.705107,70
51.0560514,3.7051004,61
51.0560434,3.7050937,18
51.0560355,3.7050871,38
51.0560275,3.7050804,43
51.0560196,3.7050738,26
51.0560116,3.7050671,98
51.0560037,3.7050605,1
51.0559956,3.7050539,30
51.0559877,3.7050472,52
51.0559798,3.7050406,24
51.0559718,3.7050339,26
51.0559639,3.7050273,81
51.0559559,3.7050207,23
51.0559479,3.705014,49
51.05594,3.7050074,26
51.055932,3.7050007,20
51.0559241,3.7049941,67
51.0559161,3.7049874,54
51.0559082,3.7049808,65
51.0559002,3.7049742,14
51.055893,3.7049681,13
51.0558889,3.7049808,37
51.055896,3.7049868,65
51.055904,3.7049934,35
51.0559119,3.7050001,42
51.0559199,3.7050067,85
51.0559278,3.7050134,66
51.0559358,3.70502,48
51.0559438,3.7050266,45
51.0559517,3.7050333,67
51.0559597,3.7050399,64
51.0559676,3.7050466,28
51.0559755,3.7050532,74
51.0559836,3.7050599,92
51.0559915,3.7050665,82
51.0559995,3.7050731,27
51.0560074,3.7050798,90
51.0560154,3.7050864,54
51.0560233,3.7050931,16
51.0560313,3.7050997,43
51.0560393,3.7051063,23
51.0560472,3.705113,92
51.0560552,3.7051196,85
51.0560631,3.7051263,53
51.056071,3.7051329,2
51.0560766,3.7051375,23
51.0560724,3.7051501,36
51.0560669,3.7051455,59
51.056059,3.7051389,46
51.0560509,3.7051323,90
51.056043,3.7051256,56
51.0560351,3.705119,73
51.0560271,3.7051123,84
51.0560192,3.7051057,72
51.0560112,3.705099,39
51.0560032,3.7050924,1
51.0559953,3.7050858,48
51.0559873,3.7050791,51
51.0559794,3.7050725,95
51.0559714,3.7050658,44
