Latitude,Longitude,Value
50.82379,3.2403586,60
50.8237927,3.240365,37
50.8237978,3.2403767,58
50.8238028,3.2403884,44
50.8238079,3.2404001,9
50.823813,3.2404118,54
50.823818,3.2404236,85
50.8238232,3.2404353,14
50.8238282,3.240447,53
50.8238332,3.2404587,78
50.8238384,3.2404704,97
50.8238399,3.2404741,11
50.8238328,3.2404827,53
50.823831,3.2404785,14
50.8238259,3.2404666,99
50.8238208,3.240455,37
50.8238157,3.2404433,45
50.8238107,3.2404316,52
50.8238056,3.2404199,79
50.8238005,3.240408,90
50.8237954,3.2403964,24
50.8237904,3.2403847,8
50.8237853,3.240373,71
50.8237826,3.2403669,80
50.8237753,3.2403751,79
50.8237779,3.240381,37
50.8237829,3.2403927,99
50.823788,3.2404044,25
50.8237931,3.2404162,27
50.8237982,3.2404278,96
50.8238032,3.2404396,14
50.8238083,3.2404513,6
50.8238134,3.240463,24
50.8238185,3.2404748,69
50.8238235,3.2404865,18
50.8238256,3.2404912,88
50.8238184,3.2404998,84
50.8238161,3.2404945,98
50.823811,3.2404828,5
50.823806,3.240471,95
50.8238009,3.2404593,56
50.8237958,3.2404476,61
50.8237907,3.2404359,5
50.8237857,3.2404242,46
50.8237806,3.2404124,30
50.8237755,3.2404007,33
50.8237704,3.240389,25
50.823768,3.2403833,54
50.8237607,3.2403916,42
50.823763,3.240397,61
50.8237681,3.2404087,61
50.8237732,3.2404205,54
50.8237782,3.2404322,99
50.8237833,3.2404439,97
50.8237884,3.2404556,1
50.8237935,3.2404673,11
50.8237985,3.2404791,5
50.8238036,3.2404908,62
50.8238087,3.2405025,25
50.8238112,3.2405083,24
50.823804,3.2405168,9
50.8238013,3.2405105,11
50.8237961,3.2404988,11
50.8237911,3.2404871,78
50.823786,3.2404753,17
50.8237809,3.2404636,92
50.8237759,3.2404519,97
50.8237708,3.2404402,22
50.8237657,3.2404285,54
50.8237607,3.2404167,79
50.8237556,3.240405,5
50.8237533,3.2403998,22
50.823746,3.240408,16
50.8237482,3.240413,7
50.8237532,3.2404248,76
50.8237583,3.2404365,81
50.8237634,3.2404482,43
50.8237685,3.2404599,85
50.8237735,3.2404715,18
50.8237786,3.2404834,66
50.8237837,3.2404951,56
50.8237888,3.2405068,42
50.8237938,3.2405185,36
50.8237967,3.2405254,26
50.8237896,3.2405339,44
50.8237864,3.2405265,27
50.8237813,3.2405148,57
50.8237763,3.2405031,6
50.8237712,3.2404913,6
50.8237661,3.2404797,87
50.823761,3.2404679,31
50.823756,3.2404562,8
50.8237509,3.2404445,45
50.8237458,3.2404327,39
50.8237407,3.2404211,15
50.8237387,3.2404163,57
50.8237314,3.2404245,77
50.8237333,3.2404291,63
50.8237384,3.2404408,61
50.8237435,3.2404525,4
50.8237536,3.2404759,33
50.8237587,3.2404877,52
50.8237638,3.2404994,18
50.8237688,3.2405111,58
50.8237739,3.2405228,1
50.823779,3.2405346,42
50.8237825,3.2405425,44
50.8238472,3.2404656,70
50.8238458,3.2404624,60
50.8238426,3.240455,61
