Latitude,Longitude,Value
50.82379,3.2403586,57
50.8237927,3.240365,28
50.8237978,3.2403767,50
50.8238028,3.2403884,2
50.8238079,3.2404001,66
50.823813,3.2404118,64
50.823818,3.2404236,79
50.8238232,3.2404353,94
50.8238282,3.240447,34
50.8238332,3.2404587,56
50.8238384,3.2404704,57
50.8238399,3.2404741,79
50.8238328,3.2404827,15
50.823831,3.2404785,38
50.8238259,3.2404666,61
50.8238208,3.240455,34
50.8238157,3.2404433,40
50.8238107,3.2404316,92
50.8238056,3.2404199,41
50.8238005,3.240408,18
50.8237954,3.2403964,98
50.8237904,3.2403847,34
50.8237853,3.240373,30
50.8237826,3.2403669,51
50.8237753,3.2403751,13
50.8237779,3.240381,61
50.8237829,3.2403927,24
50.823788,3.2404044,91
50.8237931,3.2404162,28
50.8237982,3.2404278,50
50.8238032,3.2404396,25
50.8238083,3.2404513,26
50.8238134,3.240463,10
50.8238185,3.2404748,43
50.8238235,3.2404865,48
50.8238256,3.2404912,36
50.8238184,3.2404998,10
50.8238161,3.2404945,32
50.823811,3.2404828,47
50.823806,3.240471,77
50.8238009,3.2404593,61
50.8237958,3.2404476,56
50.8237907,3.2404359,17
50.8237857,3.2404242,86
50.8237806,3.2404124,16
50.8237755,3.2404007,15
50.8237704,3.240389,81
50.823768,3.2403833,66
50.8237607,3.2403916,68
50.823763,3.240397,67
50.8237681,3.2404087,18
50.8237732,3.2404205,71
50.8237782,3.2404322,95
50.8237833,3.2404439,88
50.8237884,3.2404556,85
50.8237935,3.2404673,61
50.8237985,3.2404791,7
50.8238036,3.2404908,79
50.8238087,3.2405025,21
50.8238112,3.2405083,68
50.823804,3.2405168,53
50.8238013,3.2405105,96
50.8237961,3.2404988,99
50.8237911,3.2404871,28
50.823786,3.2404753,92
50.8237809,3.2404636,99
50.8237759,3.2404519,95
50.8237708,3.2404402,54
50.8237657,3.2404285,37
50.8237607,3.2404167,69
50.8237556,3.240405,72
50.8237533,3.2403998,21
50.823746,3.240408,90
50.8237482,3.240413,51
50.8237532,3.2404248,68
50.8237583,3.2404365,69
50.8237634,3.2404482,45
50.8237685,3.2404599,79
50.8237735,3.2404715,32
50.8237786,3.2404834,50
50.8237837,3.2404951,11
50.8237888,3.2405068,89
50.8237938,3.2405185,89
50.8237967,3.2405254,40
50.8237896,3.2405339,35
50.8237864,3.2405265,81
50.8237813,3.2405148,68
50.8237763,3.2405031,45
50.8237712,3.2404913,7
50.8237661,3.2404797,73
50.823761,3.2404679,87
50.823756,3.2404562,86
50.8237509,3.2404445,20
50.8237458,3.2404327,60
50.8237407,3.2404211,68
50.8237387,3.2404163,34
50.8237314,3.2404245,63
50.8237333,3.2404291,88
50.8237384,3.2404408,11
50.8237435,3.2404525,44
50.8237485,3.2404642,35
50.8237536,3.2404759,59
50.8237587,3.2404877,44
50.8237638,3.2404994,47
50.8237688,3.2405111,5
50.8237739,3.2405228,60
50.823779,3.2405346,95
50.8237825,3.2405425,67
50.8238472,3.2404656,11
50.8238458,3.2404624,43
50.8238426,3.240455,78
50.8268203,3.2542424,23
50.8268277,3.2542412,45
50.8268367,3.2542398,27
50.8268456,3.2542384,30
50.8268546,3.254237,11
50.8268635,3.2542356,20
50.8268725,3.2542342,42
50.8268814,3.2542328,5
50.8268904,3.2542314,7
50.8268993,3.25423,63
50.8269083,3.2542285,23
50.8269171,3.2542272,69
50.8269262,3.2542258,5
50.8269351,3.2542244,15
50.8269441,3.254223,25
50.826953,3.2542216,70
50.826962,3.2542201,18
50.8269709,3.2542188,46
50.8269799,3.2542174,55
50.8269852,3.2542166,84
50.8269863,3.2542307,23
50.8269807,3.2542315,25
50.8269718,3.254233,73
50.8269627,3.2542344,23
50.8269539,3.2542358,96
50.8269449,3.2542372,33
50.826936,3.2542386,96
50.826927,3.2542399,55
50.8269181,3.2542414,39
50.8269092,3.2542428,66
50.8269002,3.2542442,66
50.8268913,3.2542456,67
50.8268823,3.254247,9
50.8268733,3.2542484,83
50.8268644,3.2542498,8
